CustomerID,CustomerName,Email,PhoneNumber,FullAddress,,,
44,Barbara James,barbara@email,,,"3456 Maple St, Memphis, TN, 38101",,
45,Ronald Bailey,ronald@email,123-4567-890,,,,
46,Jerry Wheeler,jerry@email.com,,,"4567 Elm St, Milwaukee, WI, 53201",,
47,Gloria Sanders,gloria@email.com,123-456-78-90,,,,
48,Sean Murphy,sean@email,,,"5678 Pine St, Atlanta, GA, 30301",,
49,Larry Kelly,larry@email.com,5/2/00,,,,
50,Carolyn Gray,carolyn@email,123-456-78-90,"6789 Cedar St, Kansas City, MO, 64101",,,
51,Joshua Bryant,joshua@email.com,,,"7890 Spruce St, Miami, FL, 33101",,
52,Michelle Watson,michelle@email.com,123.4567.890,"8901 Birch St, Raleigh, NC, 27601",,,
53,Keith Rogers,,123 4567 890,"123 Willow St, Omaha, NE, 68101",,,
54,Diana Flores,diana@email.com,,"234 Elm St, Mesa, AZ, 85201",,,
55,Craig Hughes,craig@email,123-4567-890,,,,
56,Rebecca Jenkins,rebecca@email.com,123.4567.890,"345 Oak St, Virginia Beach, VA, 23450",,,
57,Kimberly Scott,kimberly@email.com,,,"456 Pine St, Colorado Springs, CO, 80901",,
58,Billy King,billy@email,123-456-7890,"567 Willow St, Tulsa, OK, 74101",,,
59,Rachel Rivera,rachel@email.com,,,"678 Maple St, Arlington, TX, 76001",,
60,Tony James,,123-456-7890,,,,
61,Steve Murphy,steve@email.com,123.456.7890,"789 Cedar St, Wichita, KS, 67201",,,
62,Laura Stewart,laura@email,,,"890 Spruce St, New Orleans, LA, 70112",,
63,Alan Reed,alan@email.com,123.456.7890,"1123 Birch St, Tampa, FL, 33601",,,
64,Sarah Bell,sarah@email,123.456.78.90,"1234 Ash St, Bakersfield, CA, 93301",,,
65,Martin Collins,martin@email.com,,,,,
66,Victor Hall,victor@email.com,123-4567-890,"2345 Oak St, Anaheim, CA, 92801",,,
67,Phillip Perry,phillip@email,,,"3456 Maple St, Aurora, CO, 80010",,
68,Susan Torres,susan@email.com,123.456.78.90,,,,
69,Justin Wright,justin@email,123 456 7890,"4567 Elm St, Corpus Christi, TX, 78401",,,
70,Joan Turner,joan@email.com,,"5678 Pine St, Riverside, CA, 92501",,,
71,Douglas Powell,douglas@email.com,123 456 7890,"6789 Cedar St, St. Louis, MO, 63101",,,
72,Denise Long,denise@email,123-4567-890,"7890 Spruce St, Lexington, KY, 40501",,,
73,Katherine Jenkins,katherine@email.com,,,"8901 Birch St, Pittsburgh, PA, 15201",,
74,Roger Simmons,roger@email.com,123-4567-890,"123 Willow St, Anchorage, AK, 99501",,,
75,Emily Evans,emily@email,,,"234 Elm St, Cincinnati, OH, 45201",,
76,Jonathan Brooks,jonathan@email.com,123-4567-890,"345 Oak St, Toledo, OH, 43601",,,
77,Janet Ward,janet@email,123 456 7890,"456 Pine St, Greensboro, NC, 27401",,,
78,Stephen Watson,stephen@email.com,,"567 Willow St, Plano, TX, 75001",,,
79,Bruce Ross,bruce@email.com,123-4567-890,"678 Maple St, Lincoln, NE, 68501",,,
80,Anne Perry,anne@email,,,"789 Cedar St, Orlando, FL, 32801",,
81,Geraldine Coleman,geraldine@email.com,123-4567-890,,,,
82,Harold Torres,harold@email,123 456 7890,"890 Spruce St, Buffalo, NY, 14201",,,
83,Nicholas Carter,nicholas@email.com,,,"1123 Birch St, Fort Wayne, IN, 46801",,
84,Gloria Powell,gloria@email.com,123-4567-890,"1234 Ash St, Jersey City, NJ, 07301",,,
85,Kenneth Long,kenneth@email,,,"2345 Oak St, Chula Vista, CA, 91910",,
86,Raymond Jenkins,raymond@email.com,123-4567-890,"3456 Maple St, St. Petersburg, FL, 33701",,,
87,Gary Adams,gary@email,,,"4567 Elm St, Norfolk, VA, 23501",,
88,Deborah Nelson,deborah@email.com,123-4567-890,"5678 Pine St, Chandler, AZ, 85201",,,
89,Sharon Mitchell,sharon@email,,,"6789 Cedar St, Laredo, TX, 78040",,
90,Carl Lopez,carl@email.com,123-4567-890,"7890 Spruce St, Madison, WI, 53701",,,
91,Elizabeth Ross,elizabeth@email,,,"8901 Birch St, Lubbock, TX, 79401",,
92,Frances Nelson,frances@email.com,123-4567-890,,,,
93,Arthur Simmons,arthur@email,123 456 7890,"123 Willow St, Reno, NV, 89501",,,
94,Teresa Carter,teresa@email.com,,,"234 Elm St, Scottsdale, AZ, 85250",,
95,Victor Russell,victor@email.com,123-4567-890,"345 Oak St, Glendale, CA, 91201",,,
96,Louis Jenkins,louis@email,,,"456 Pine St, Akron, OH, 44301",,
97,Jessica Adams,jessica@email.com,123-4567-890,"567 Willow St, Tacoma, WA, 98401",,,
98,Joan Coleman,joan@email,,,"678 Maple St, Modesto, CA, 95350",,
99,Roy Torres,roy@email.com,123-4567-890,"789 Cedar St, Oxnard, CA, 93030",,,
100,Christina King,christina@email,,,"890 Spruce St, Fontana, CA, 92335",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
